arm,subject,file_name,gesture,n,dist_to_gesture_median,robust_z
right arm,Matthew,Matthew_session02_relabeled_first_gesture_dropped_filtered.npz,right_turn,410,0.135810986161232,0.48278841376304626
right arm,Matthew,Matthew_session03_relabeled_first_gesture_dropped_filtered.npz,right_turn,410,0.1337004452943802,0.4485059678554535
right arm,Matthew,Matthew_session04_relabeled_first_gesture_dropped_filtered.npz,right_turn,410,0.11400581896305084,0.12859725952148438
right arm,Matthew,Matthew_session05_relabeled_first_gesture_dropped_filtered.npz,right_turn,410,0.1293104737997055,0.37719765305519104
right arm,Matthew,Matthew_session06_relabeled_first_gesture_dropped_filtered.npz,right_turn,410,0.10608895123004913,0.0
right arm,Matthew,Matthew_session07_relabeled_first_gesture_dropped_filtered.npz,right_turn,410,0.11433707177639008,0.1339779496192932
right arm,Matthew,Matthew_session08_relabeled_first_gesture_dropped_filtered.npz,right_turn,410,0.09696555882692337,-0.14819538593292236
right arm,Matthew,Matthew_session09_filtered.npz,right_turn,410,0.12680527567863464,0.33650460839271545
right arm,Matthew,Matthew_session10_filtered.npz,right_turn,410,0.10852183401584625,0.039518412202596664
right arm,Matthew,Matthew_session11_filtered.npz,right_turn,410,0.1194436103105545,0.2169257551431656
right arm,Matthew,Matthew_session12_filtered.npz,right_turn,410,0.11607647687196732,0.16223187744617462
right arm,Matthew,Matthew_session13_filtered.npz,right_turn,410,0.11682920157909393,0.17445872724056244
right arm,Matthew,Matthew_session14_filtered.npz,right_turn,410,0.12904442846775055,0.3728761672973633
right arm,Matthew,Matthew_session15_filtered.npz,right_turn,410,0.11094234138727188,0.07883580774068832
right arm,Matthew,Matthew_session16_filtered.npz,right_turn,410,0.1129174456000328,0.1109183132648468
right arm,Matthew,Matthew_session17_filtered.npz,right_turn,409,0.13032616674900055,0.39369603991508484
right arm,Matthew,Matthew_session18_filtered.npz,right_turn,410,0.12078433483839035,0.23870374262332916
right arm,Matthew,Matthew_session19_filtered.npz,right_turn,410,0.1079028993844986,0.029464777559041977
right arm,Matthew,Matthew_session20_filtered.npz,right_turn,411,0.12505865097045898,0.30813339352607727
right arm,Matthew,Matthew_session21_filtered.npz,right_turn,410,0.06069894880056381,-0.7372902631759644
right arm,Matthew,Matthew_session22_filtered.npz,right_turn,470,0.22622492909431458,1.951422929763794
right arm,subject02,subject02_session01_relabeled_first_gesture_dropped_filtered.npz,right_turn,409,0.21523478627204895,1.7729049921035767
right arm,subject02,subject02_session02_relabeled_first_gesture_dropped_filtered.npz,right_turn,410,0.14235994219779968,0.5891660451889038
right arm,subject02,subject02_session03_relabeled_first_gesture_dropped_filtered.npz,right_turn,410,0.1476128101348877,0.674490749835968
right arm,subject02,subject02_session04_relabeled_first_gesture_dropped_filtered.npz,right_turn,410,0.13480094075202942,0.4663817882537842
right arm,subject02,subject02_session05_relabeled_first_gesture_dropped_filtered.npz,right_turn,410,0.12934499979019165,0.3777584731578827
right arm,subject02,subject02_session06_relabeled_first_gesture_dropped_filtered.npz,right_turn,410,0.13461072742938995,0.46329209208488464
right arm,subject02,subject02_session07_relabeled_first_gesture_dropped_filtered.npz,right_turn,410,0.13282650709152222,0.4343101680278778
right arm,subject03,subject03_session01_relabeled_first_gesture_dropped_filtered.npz,right_turn,410,0.09441861510276794,-0.18956653773784637
right arm,subject03,subject03_session02_relabeled_first_gesture_dropped_filtered.npz,right_turn,410,0.06098638102412224,-0.7326213717460632
right arm,subject03,subject03_session03_relabeled_first_gesture_dropped_filtered.npz,right_turn,410,0.07610361278057098,-0.4870653748512268
right arm,subject03,subject03_session04_relabeled_first_gesture_dropped_filtered.npz,right_turn,410,0.09307422488927841,-0.21140407025814056
right arm,subject03,subject03_session05_relabeled_first_gesture_dropped_filtered.npz,right_turn,411,0.07222987711429596,-0.5499882102012634
right arm,subject03,subject03_session06_relabeled_first_gesture_dropped_filtered.npz,right_turn,410,0.0663614496588707,-0.645311713218689
right arm,subject04,subject04_session01_relabeled_first_gesture_dropped_filtered.npz,right_turn,411,0.1426534801721573,0.5939341187477112
right arm,subject04,subject04_session02_relabeled_first_gesture_dropped_filtered.npz,right_turn,410,0.187586709856987,1.3238048553466797
right arm,subject04,subject04_session03_relabeled_first_gesture_dropped_filtered.npz,right_turn,410,0.19392897188663483,1.4268250465393066
right arm,subject04,subject04_session04_relabeled_first_gesture_dropped_filtered.npz,right_turn,409,0.20614895224571228,1.6253197193145752
right arm,subject04,subject04_session05_relabeled_first_gesture_dropped_filtered.npz,right_turn,410,0.191382497549057,1.3854615688323975
right arm,subject05,subject05_session01_relabeled_first_gesture_dropped_filtered.npz,right_turn,410,0.03170577064156532,-1.2082396745681763
right arm,subject05,subject05_session02_relabeled_first_gesture_dropped_filtered.npz,right_turn,410,0.030788308009505272,-1.2231422662734985
right arm,subject05,subject05_session03_relabeled_first_gesture_dropped_filtered.npz,right_turn,411,0.02890510857105255,-1.2537319660186768
right arm,subject05,subject05_session04_relabeled_first_gesture_dropped_filtered.npz,right_turn,410,0.03959813341498375,-1.0800403356552124
right arm,subject06,subject06_session01_relabeled_first_gesture_dropped_filtered.npz,right_turn,411,0.0370868444442749,-1.1208323240280151
